,Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,Ice cream,Kidney Beans,Milk,Nutmeg,Onion,Sugar,Unicorn,Yogurt,chocolate
0,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,True
1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,True
3,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False
4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,True
6,False,False,True,False,False,False,True,True,True,True,True,True,False,False,True,False
7,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False
8,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True
9,True,False,False,False,False,True,True,True,False,True,False,True,True,True,False,True
10,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False
11,True,True,False,True,False,True,True,True,True,False,True,False,True,False,True,True
12,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
13,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
14,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
16,True,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False
17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
18,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
19,False,True,False,False,True,False,False,True,True,True,True,False,True,True,False,False
20,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False
21,True,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False
22,False,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True
23,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True
24,False,True,False,False,True,False,True,False,True,True,True,True,False,True,True,False
25,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,True
26,False,True,True,True,True,False,False,False,True,True,False,False,False,True,False,True
27,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
28,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True
29,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
30,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True
31,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False
32,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
33,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False
34,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True
35,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True
36,True,False,False,True,True,True,False,True,True,False,True,True,False,True,True,True
37,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,True
38,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
39,False,True,False,True,True,False,True,True,False,False,True,False,False,False,True,False
40,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,True
41,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
42,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
43,True,True,False,False,True,True,False,True,True,True,False,True,False,False,False,True
44,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
45,False,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False
46,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
47,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
48,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True
49,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False
50,True,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True
51,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True
52,True,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False
53,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
54,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
56,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,True
57,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
58,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False
59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
60,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
61,True,True,False,True,False,False,False,False,True,True,True,False,True,False,True,False
62,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,True
63,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
64,False,False,False,False,False,False,False,True,False,True,False,True,True,True,False,True
65,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,False
66,True,False,True,False,True,False,False,True,True,False,True,True,True,False,True,True
67,False,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True
68,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
69,False,True,False,True,True,True,True,False,False,True,False,False,False,False,True,False
70,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,True
71,False,True,False,False,False,True,True,True,True,False,False,False,False,False,True,True
72,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True
73,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True
74,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
75,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,True
76,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False
77,True,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True
78,False,False,False,True,False,True,False,True,True,False,True,True,True,False,False,True
79,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False
80,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False
81,False,True,True,True,False,True,True,False,False,False,False,True,False,True,True,False
82,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
83,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,False
85,True,False,True,False,False,False,False,False,False,True,False,True,True,False,True,True
86,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,True
87,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False
88,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True
89,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True
90,True,True,True,False,True,True,False,False,True,False,True,True,True,True,True,True
91,False,False,False,True,True,True,True,True,True,True,True,True,False,False,True,True
92,True,False,True,False,True,True,False,False,False,False,False,True,True,True,True,True
93,False,True,True,True,True,False,True,True,False,False,True,True,False,False,True,True
94,True,False,False,False,False,True,False,False,False,True,True,True,False,False,True,False
95,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False
96,True,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False
97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
98,True,False,True,False,True,False,True,False,True,True,False,True,True,True,True,False
99,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True
100,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,True
102,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True
103,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
104,False,True,False,True,False,False,True,True,False,False,True,True,True,True,False,False
105,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False
106,True,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True
107,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
109,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,True,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False
111,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True
112,True,True,False,False,True,False,True,True,True,True,True,False,False,False,False,True
113,False,False,True,False,False,False,True,False,True,True,True,True,False,False,False,False
114,True,True,False,True,False,True,True,False,False,False,True,True,True,False,True,False
115,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
116,False,True,True,False,True,False,True,True,False,False,False,True,True,True,False,False
117,True,True,True,True,False,False,False,False,False,True,False,True,True,False,False,True
118,True,False,False,True,True,True,False,True,False,False,False,False,True,False,True,False
119,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True
120,False,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False
121,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
122,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False
123,False,True,False,False,True,True,True,False,True,False,True,False,False,False,True,True
124,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
125,False,True,True,False,False,True,True,False,False,False,False,False,False,False,True,False
126,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True
127,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True
128,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False
129,False,True,True,False,True,False,False,True,True,True,True,True,True,False,True,True
130,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True
131,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,True
132,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False
133,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True
134,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
135,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False
136,False,True,True,False,False,True,True,True,False,True,False,True,False,True,True,True
137,True,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True
138,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
139,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False
140,True,False,True,True,True,True,False,True,True,True,True,False,True,True,False,True
141,True,True,True,False,True,False,False,False,False,True,True,False,False,True,True,False
142,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False
143,True,True,False,False,True,False,True,True,True,False,False,True,True,False,True,False
144,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False
145,False,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False
146,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False
147,False,False,False,False,True,True,False,True,True,False,True,False,True,True,False,True
148,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
149,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False
150,True,True,True,False,True,False,False,True,False,False,True,True,True,True,True,False
151,False,False,False,True,True,False,False,True,True,False,True,False,True,False,True,False
152,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
153,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
154,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False
155,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
156,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False
157,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,False
158,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
159,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False
160,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
161,False,False,False,False,True,False,True,True,True,False,True,False,False,True,False,True
162,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,False
163,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
164,True,False,True,False,True,True,True,True,False,False,False,False,True,True,False,True
165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
166,True,True,True,True,True,False,True,True,True,False,True,False,True,True,False,True
167,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False
168,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
169,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,False,True,True,False,False,False,True,True,True,False,True,False,True,False,False,True
171,True,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False
172,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
173,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
174,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
175,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
176,False,False,True,True,False,True,True,False,True,True,True,False,False,True,True,False
177,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,True
178,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
179,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
180,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,True
181,True,False,True,True,False,False,True,False,False,False,False,True,True,False,True,True
182,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
183,True,True,True,False,True,False,True,False,True,True,True,True,False,True,True,True
184,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
185,False,False,True,True,False,False,False,True,True,True,True,True,False,True,True,True
186,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True
187,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True
188,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,False
189,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True
190,True,False,False,True,True,False,False,True,True,False,False,False,False,False,True,False
191,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
192,True,True,True,True,False,True,False,True,False,False,True,True,True,False,False,True
193,False,False,False,True,True,False,True,False,True,False,False,True,False,True,True,False
194,False,False,True,True,False,True,True,True,False,False,False,True,False,True,False,True
195,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
196,True,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False
197,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False
198,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
199,False,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False
200,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True
201,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True
202,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,False
203,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
204,False,True,False,True,False,True,True,True,True,False,False,False,False,True,True,False
205,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
206,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True
207,False,False,False,True,False,False,False,False,True,False,True,True,True,True,False,False
208,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False
209,False,True,True,True,False,True,False,True,False,False,True,True,False,True,False,True
210,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False
211,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False,True
212,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,True
213,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
214,False,False,True,False,False,False,True,False,True,True,False,True,False,False,True,True
215,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True
216,False,True,True,True,True,False,True,True,False,True,True,True,False,False,False,True
217,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False
218,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False
219,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
220,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,True
221,True,True,False,False,False,False,True,False,True,True,True,True,True,False,True,False
222,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
223,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,True
224,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False
225,True,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False
226,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False
227,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
228,True,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False
229,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
230,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True
231,True,False,False,True,True,True,False,False,False,False,True,False,True,False,False,False
232,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True
233,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False
234,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
235,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
236,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
237,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
238,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True
239,False,True,True,False,True,False,False,False,False,False,False,False,False,True,True,False
240,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
241,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True
242,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
243,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True
244,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False
245,True,False,False,True,True,False,False,False,False,True,True,True,False,True,True,True
246,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
247,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False
248,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False
249,True,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True
250,False,False,True,False,True,True,True,True,False,False,True,True,False,False,True,True
251,True,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False
252,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
253,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False
254,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
255,True,False,True,False,True,True,False,True,True,True,True,True,False,False,False,True
256,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
257,True,False,True,True,True,False,False,True,True,False,True,False,True,True,False,True
258,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
259,False,False,True,False,False,False,False,True,True,True,False,False,True,True,False,True
260,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False
261,True,False,False,True,True,True,False,False,True,True,False,True,True,True,False,True
262,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,False
263,True,False,False,True,True,True,True,False,False,False,True,True,True,True,False,True
264,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
265,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
266,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
267,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False
268,False,True,False,True,True,False,False,True,True,False,True,False,True,True,True,True
269,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
270,True,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False
271,False,True,True,True,True,False,True,False,False,False,True,True,False,False,True,True
272,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False
273,True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
274,False,False,False,True,False,True,False,False,True,False,True,True,True,False,False,False
275,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False
276,True,True,True,False,True,False,True,True,False,False,False,False,True,True,True,False
277,False,False,True,True,False,False,True,True,True,False,False,True,False,True,True,False
278,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False
279,True,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False
280,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False
281,False,True,True,False,True,False,True,False,True,False,False,True,True,False,True,True
282,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False
283,False,False,True,True,True,False,False,True,False,True,False,False,False,True,True,False
284,True,True,True,False,True,False,True,True,False,False,True,True,True,False,False,True
285,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
286,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False
287,True,True,False,False,False,True,True,True,False,True,True,False,True,False,True,True
288,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,True
289,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True
290,False,False,True,True,True,False,True,True,True,False,False,False,False,False,True,True
291,True,True,False,False,False,True,False,False,False,True,False,True,True,True,False,True
292,False,False,True,True,False,True,True,False,True,False,True,False,False,True,False,True
293,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True
294,False,False,True,True,True,True,False,True,True,True,False,True,False,False,False,True
295,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True
296,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
297,False,False,False,True,True,True,False,True,False,False,True,True,False,True,True,True
298,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
299,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True
300,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,True
301,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
302,True,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False
303,False,True,False,False,True,False,True,False,False,False,True,True,False,True,False,True
304,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False
305,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
306,True,False,True,False,False,False,True,False,True,True,True,False,True,False,True,False
307,True,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True
308,True,False,True,True,True,False,False,True,True,False,False,True,False,True,False,False
309,False,False,False,False,True,True,False,True,False,True,False,False,True,True,False,True
310,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True
311,True,False,True,True,False,True,True,False,False,True,False,False,True,False,False,True
312,False,False,True,False,True,True,False,True,True,True,True,False,True,False,True,False
313,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,False
314,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True
315,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True
316,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,False
317,False,True,False,True,True,False,False,False,True,True,False,False,True,False,True,False
318,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,True
319,False,False,False,True,False,True,False,True,True,False,False,False,True,False,True,True
320,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False
321,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True
322,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
323,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False
324,False,False,True,False,False,True,True,True,False,False,True,False,False,False,False,True
325,True,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False
326,True,True,True,False,True,False,True,True,False,False,True,True,True,True,True,True
327,False,False,False,False,True,True,True,True,True,True,False,True,False,False,True,False
328,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False
329,False,True,False,False,False,True,False,False,True,False,False,True,True,True,True,False
330,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False
331,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False
